partyid,ltv,gender,expirydate,resumecount,maxchar,avchar
42115907,37.9,F,4/20/2013 22:18,1,2588,2588
63258425,3.28,M,2/26/2014 9:48,1,4806,2815
57821195,1.95,F,12/4/2013 7:28,7,4226,664
47509080,142.75,M,11/7/2013 19:03,5,3283,1774
8147836,2.95,F,5/28/2013 21:48,1,2895,1480
8399268,247.6,F,12/12/2013 16:00,3,7203,5616
41135055,2.95,M,3/29/2013 15:25,4,3592,1987
27462413,2.95,M,5/3/2013 10:17,5,2187,1551
67743357,1.95,F,5/14/2014 17:53,1,1887,1127
7286853,78.8,F,3/27/2014 8:03,5,5260,4117
40585428,2.95,M,2/25/2013 18:34,1,5067,3628
56750865,36.9,M,11/18/2013 18:07,1,1805,1805
50387806,2.95,F,8/21/2013 13:16,2,2425,1572
84770816,1.95,M,2/12/2015 11:54,1,2324,591
5851251,38.75,F,11/11/2013 12:27,2,5666,2262
44888725,2.95,F,5/13/2013 11:43,1,1892,1892
72655375,76.7,F,7/29/2014 9:31,4,2260,901
31273711,2.95,F,4/22/2013 16:23,5,3080,725
22025723,389.4,F,9/2/2013 22:03,1,3118,2948
43181677,2.95,F,4/28/2013 13:17,1,2411,2303
68934571,7.95,F,5/28/2014 0:00,1,3475,2102
66451082,3.9,M,9/4/2014 13:41,1,4696,3444
40018125,22.85,F,2/13/2013 16:46,1,8224,8224
24958382,95.4,F,2/12/2013 14:35,3,6631,3168
39302677,72.85,M,10/24/2014 12:19,2,9780,5169
45923389,2.95,F,5/31/2013 16:05,1,2186,1051
68003083,161.15,F,8/19/2014 2:42,2,2997,2984
58129951,519.35,F,3/24/2015 13:09,8,7486,3399
55136867,2.95,F,10/31/2013 14:19,1,2393,1997
40432425,110.35,M,1/20/2014 2:08,7,3198,2018
54854783,2.95,F,10/29/2013 22:24,2,4334,2911
65725695,40.75,F,4/24/2014 15:28,4,4654,1368
47690256,37.9,M,9/3/2013 15:01,1,2192,1772
88935708,41.75,M,3/17/2015 13:09,1,1898,1317
40734916,42.85,F,3/27/2013 18:00,1,2080,1704
8430346,38.9,F,1/24/2013 11:02,1,2799,2799
7552042,1.95,F,8/17/2014 19:35,1,1069,1069
10141475,76.8,F,1/17/2014 17:41,7,2184,807
51788420,40.85,F,10/1/2014 12:09,1,3468,3071
49880561,2.95,M,8/8/2013 10:09,1,2728,2165
9467032,2.95,M,3/2/2013 8:54,4,3932,2535
58634550,1.95,M,2/7/2014 2:23,2,2914,1461
36381661,37.9,F,2/22/2013 23:36,3,3116,1672
48358021,2.95,F,7/23/2013 22:33,1,3891,958
41737762,37.9,F,2/11/2014 9:05,1,3658,2853
55204768,110.35,M,1/19/2014 19:25,1,3519,3519
36815917,493.25,F,10/7/2014 22:53,7,5787,1152
69687181,1.95,F,5/31/2014 13:26,1,4000,3099
83738624,1.95,M,12/11/2014 19:07,1,2207,2055
40634726,12.9,M,5/15/2013 19:58,2,5027,3014
47522897,2.95,F,9/6/2013 12:45,2,1621,1079
37671626,3.95,M,6/23/2013 14:19,1,3498,3498
70398937,1.95,F,5/29/2014 9:09,7,7034,2367
69433059,240.75,F,10/30/2014 19:18,1,4826,4826
36496456,73.85,M,12/14/2013 10:37,5,7880,3240
1170774,3.95,F,4/27/2013 10:08,1,1536,1536
7718262,37.9,M,2/20/2013 20:31,1,3289,3289
10391278,3.95,F,4/25/2013 15:35,3,3694,2415
9276977,2.95,F,10/16/2014 0:49,5,2998,1143
44388547,2.95,M,5/3/2013 22:55,2,5855,2324
781153,13.9,M,4/30/2013 17:07,4,5807,2800
9434927,2.95,F,2/18/2016 22:11,5,6917,4029
53411890,0,F,9/18/2013 11:36,3,3672,2492
45518631,110.75,F,5/23/2013 17:46,1,1321,1316
3136674,1.95,F,3/4/2015 15:35,1,12144,12144
8105764,212.65,F,1/23/2013 0:00,5,6947,3971
31142421,76.8,F,10/24/2014 20:02,8,2971,1780
2273370,1.95,F,7/9/2014 23:06,1,2492,2285
51426985,107.8,F,12/3/2013 21:40,1,2840,2840
47972806,37.9,M,8/15/2013 20:32,3,3551,2103
84368421,1.95,F,2/10/2015 17:16,1,1112,1082
49390739,2.95,F,8/8/2013 19:15,1,2317,2196
25140966,95.4,F,5/7/2013 10:02,4,3412,2265
5867239,2.95,M,11/29/2013 12:40,1,1796,1738
46724696,1.95,F,3/5/2014 22:49,2,2342,1211
9590291,106.8,M,2/3/2015 11:16,1,1727,1263
71363350,81.55,F,8/7/2014 12:54,5,4000,1494
63308534,41.75,F,3/25/2014 2:15,1,954,954
39775825,72.85,M,4/4/2013 14:07,2,3158,2626
50114364,41.75,M,7/12/2014 16:23,2,2772,2421
35517266,183.65,M,2/24/2013 13:55,4,4047,2376
77283967,41.75,M,10/7/2014 12:26,1,2132,2132
2339222,2.95,F,9/30/2013 0:12,1,3968,2174
72478183,1.95,M,6/28/2014 4:53,1,4168,3185
56912838,3.95,F,11/20/2013 15:06,1,4384,4384
8873956,2.95,F,2/16/2013 10:49,1,2492,2492
64662049,3.9,F,3/13/2014 11:12,1,2069,1684
33099500,179.7,F,4/16/2013 17:23,1,2180,1739
57621773,81.55,M,3/11/2014 16:39,4,5867,1460
49519832,2.95,M,8/2/2013 16:02,2,1519,1393
66451093,96.5,F,6/26/2014 18:41,5,3286,1749
47071776,41.75,F,4/2/2014 14:16,2,1643,1447
33691437,7.9,M,3/25/2014 5:52,1,6467,3329
76656508,116.5,M,1/18/2015 9:57,5,2326,900
48489882,37.9,M,8/16/2013 18:43,1,3677,2563
24745994,107.8,F,8/18/2014 12:22,2,5009,2932
43956792,2.95,M,4/26/2013 13:34,1,5663,2652
54189505,2.95,M,10/14/2013 16:33,7,4965,2677
12425796,177.7,M,8/25/2013 15:49,2,4263,2101
9698086,1.95,F,2/23/2014 13:18,1,2391,1859
42941564,6.9,M,4/2/2013 0:17,2,3121,2978
48919628,2.95,M,7/24/2013 10:25,4,2959,2573
482904,1.95,F,12/11/2014 23:35,4,3991,1986
8357200,2.95,F,11/11/2013 14:40,3,6514,4020
55266956,72.75,F,4/5/2014 4:24,3,5206,2833
9585012,2.95,M,2/20/2013 13:33,1,1708,893
59550390,41.75,M,2/15/2014 14:37,1,2203,1522
2201861,2.95,F,7/29/2013 19:52,11,2193,1054
46819389,6.9,F,6/17/2013 18:50,3,2981,2420
9359376,5.9,F,3/3/2014 18:55,2,8535,7044
49963833,492.25,M,10/10/2014 18:23,8,2885,1554
39410940,1.95,F,3/5/2014 0:41,4,10768,3917
59814716,81.55,M,4/2/2014 12:21,4,2744,1618
43526770,2.95,M,4/21/2013 18:06,1,1015,1015
45508610,2.95,M,5/23/2013 15:15,3,0,0
9007746,3.95,M,8/11/2013 14:23,2,1450,694
75315157,1.95,M,8/10/2014 23:53,3,3492,2156
57210742,36.9,M,1/2/2014 6:20,2,1176,967
68400672,1.95,F,5/6/2014 20:58,1,2680,2680
66775061,24.9,M,5/9/2014 7:53,3,3581,2402
46768241,527.2,M,9/17/2014 0:51,2,2335,1394
72963964,1.95,F,7/26/2014 9:47,3,2228,1365
42112969,72.85,M,2/16/2014 21:59,1,2660,2660
40423431,2.95,M,2/20/2013 21:25,3,6141,2761
57772638,224.3,M,6/14/2014 21:39,2,2223,1312
45299678,2.95,M,6/18/2013 7:22,1,2180,1206
46383093,2.95,F,7/9/2013 22:39,1,3441,2516
1381081,2.95,F,10/20/2014 15:08,2,2774,1178
40677299,2.95,M,2/20/2013 16:17,1,5286,3733
39945910,37.9,F,2/4/2013 23:10,1,1945,1945
4734495,1.95,M,8/21/2014 3:27,2,2184,1944
67541282,1.95,F,4/19/2014 19:08,2,3768,1314
67352566,41.75,F,5/24/2014 7:46,2,2248,1133
66340400,1.95,M,10/1/2014 10:22,5,1521,878
48590165,2.95,M,8/23/2013 15:25,3,3195,2427
9535985,2.95,M,5/24/2013 16:46,4,3783,3060
38916108,6.9,M,9/1/2013 12:16,4,4398,2915
74530329,3.9,M,11/27/2014 22:55,3,2993,1545
44181972,2.95,F,5/1/2013 21:34,1,2215,2215
4688107,3.95,M,4/14/2013 20:29,3,3020,1085
75956965,1.95,F,8/20/2014 0:39,3,2238,1750
62690480,81.55,F,6/11/2014 21:29,4,7259,3929
8252034,6.28,F,4/26/2013 15:52,2,1392,1111
47276629,184.05,F,11/4/2014 16:49,2,4888,3303
46234884,2.95,F,9/20/2013 11:54,1,2994,2590
2018478,71.85,F,5/20/2014 21:47,2,2198,1669
73257149,38.75,F,8/6/2014 18:09,2,1800,1800
13220956,983.55,M,7/16/2013 11:15,1,3113,3113
52131249,37.9,M,10/20/2013 0:09,1,961,691
1283191,3.95,F,7/29/2013 21:40,3,1997,1357
39146157,72.85,F,2/22/2013 4:51,4,4035,1774
65943245,1.95,F,4/18/2014 9:09,2,3732,2224
78258390,1.95,F,9/21/2014 7:19,1,2073,1771
9562143,2.95,F,4/13/2013 12:06,2,2689,1605
55492329,38.75,F,11/27/2013 23:03,2,2148,1970
69886724,1.95,M,5/22/2014 0:51,2,1139,569
51305358,107.8,F,11/30/2013 11:57,3,5750,3682
62602253,1.95,F,2/16/2014 18:06,1,1872,1638
4520340,2.95,F,2/22/2013 15:46,1,2495,2495
42904862,2.95,F,3/31/2013 21:56,2,5291,2791
76849898,2.95,M,9/25/2014 13:38,3,2323,1071
47535505,2.95,M,7/1/2013 11:01,2,2521,1461
53251421,282.55,F,9/28/2014 16:31,1,4873,2135
5305796,161.15,F,8/25/2014 18:44,2,3545,1806
43251229,73.85,M,10/19/2013 19:24,5,4270,2158
3398227,142.75,F,11/8/2013 0:06,2,3171,1809
43172250,190.8,M,3/29/2014 6:33,2,3835,1849
8807808,2.95,F,4/29/2013 12:33,2,3340,2042
24208608,2.95,F,2/21/2013 12:30,2,3955,3089
63085399,1.95,F,2/22/2014 3:42,1,1305,1305
48350142,2.95,F,7/21/2013 12:35,2,2005,1042
41743053,5.9,M,3/24/2014 9:35,2,4779,2705
7599363,108.8,M,8/26/2013 17:32,4,6133,2619
28373156,2.95,M,6/3/2013 23:39,2,2839,1419
74612067,41.75,F,8/31/2014 0:36,2,2345,2108
55106543,251.85,F,7/5/2014 11:02,1,7485,3429
10032843,2.95,F,3/28/2014 5:15,1,5334,5334
58654544,38.85,M,6/9/2014 9:11,3,5183,1756
42001305,2.95,M,3/14/2013 3:07,1,2438,2438
64121067,35.95,F,4/11/2014 11:47,1,4515,4423
7674622,43.7,F,11/26/2014 12:57,2,9177,5526
51545749,1,F,12/8/2013 22:34,3,2574,1611
42491016,72.85,M,5/24/2013 13:41,1,2057,1072
39091327,2.95,M,1/29/2013 22:25,1,2944,1606
1348267,38.75,F,8/21/2014 18:49,2,5699,2866
35139670,107.8,F,11/2/2013 23:01,15,13782,1751
46291527,37.9,F,7/6/2013 23:22,2,2323,2245
11084835,494.25,F,2/19/2013 16:23,2,5345,2992
43197936,37.9,M,5/5/2013 21:03,3,6394,4987
51855410,2.95,M,9/12/2013 16:43,1,3435,2925
65169705,0,F,7/21/2014 12:35,5,3870,2592
71836881,97.35,F,6/18/2014 0:00,13,4909,2119
39457285,2.95,M,2/5/2013 9:26,1,3771,3771
17939379,533.15,F,2/21/2015 18:38,7,5238,2078
71414416,1.95,M,6/17/2014 16:50,1,1366,1366
9802733,1.95,F,7/1/2014 13:29,3,8570,2411
6510388,2.95,M,5/21/2013 23:44,2,2127,2127
18951834,110.35,F,7/25/2014 16:51,1,2007,1601
65714487,41.75,M,4/25/2014 15:19,1,1885,1885
1152769,142.75,F,2/18/2015 10:20,3,9111,2190
60114509,1.95,M,8/21/2014 21:28,2,2196,1138
53018191,2.95,F,9/30/2013 2:04,1,5554,2598
3125986,41.75,F,8/31/2014 15:04,9,5114,2406
43318850,37.9,M,5/8/2013 22:05,3,2492,1467
79902634,1.95,F,10/12/2014 13:51,3,3502,1923
3000417,41.75,F,7/22/2014 14:27,1,3243,2348
64074811,3.9,F,8/9/2014 23:18,2,4988,3069
10873064,2.95,F,12/22/2014 19:28,1,12723,5543
62345215,1.95,M,2/14/2014 11:30,2,1611,1022
42481748,37.9,M,4/23/2013 18:14,5,2199,1952
43477504,2.95,M,4/18/2013 12:47,3,2286,902
45164549,5.9,F,1/24/2014 14:36,2,2609,2380
42853705,6.9,F,7/17/2013 13:04,3,6833,3033
39413816,35.95,F,4/21/2014 10:56,1,5722,5565
77183694,81.55,F,10/31/2014 17:11,1,1610,1397
65605938,134.35,F,7/11/2014 15:17,1,1867,1867
79593826,3.75,F,11/25/2014 0:55,1,1934,1670
79950342,41.75,F,10/20/2014 1:04,1,1897,1897
54670546,2.95,M,10/20/2013 14:42,1,3383,3383
54437398,14.95,F,11/16/2013 19:07,3,5824,1876
45343066,107.8,M,8/21/2013 5:29,2,5878,2182
51708961,1.95,M,2/5/2014 17:25,2,11370,3123
45138279,107.8,F,8/16/2013 21:06,4,4671,2436
75081337,1.95,M,8/6/2014 22:16,1,6688,6688
56682316,2.95,F,11/19/2013 9:42,1,3203,3203
45032917,37.9,M,6/15/2013 11:17,1,5749,5749
1030548,2.95,F,9/7/2014 22:56,1,2974,2974
45852649,2.95,F,6/3/2013 18:01,2,2830,2813
62796467,1.95,F,2/24/2014 21:56,1,1420,1049
68026524,38.75,F,4/25/2014 0:00,2,4181,1807
43370192,3.95,M,4/9/2013 17:59,3,2184,1575
52858797,37.9,F,9/23/2013 23:52,7,6115,3894
55368388,2.95,F,10/29/2013 19:03,2,6365,3730
56229429,2.95,M,11/11/2013 5:02,1,3031,2271
44265442,2.95,F,5/2/2013 8:25,2,2391,1362
47419221,2.95,M,6/30/2013 15:14,1,1991,1991
4691799,1,M,2/20/2014 13:12,5,1888,808
48479876,37.9,M,8/16/2013 16:45,1,2100,2100
63460649,1.95,M,6/7/2014 14:12,1,2150,721
77165865,1.95,M,9/9/2014 7:44,1,4638,3418
53955128,142.75,M,4/27/2014 17:06,2,3514,2740
40780173,107.8,F,5/19/2013 21:55,2,3147,2121
68911933,14.95,F,5/8/2014 18:12,3,4900,1413
38933949,142.75,M,6/15/2013 14:50,2,3319,1659
62954833,70.85,M,8/2/2014 10:44,2,2566,1601
51246273,2.95,M,9/15/2013 14:14,1,3955,2887
6216223,2.95,M,1/22/2013 15:42,2,1960,1166
47927716,41.85,M,7/7/2013 16:52,1,3688,2636
2219452,3.95,F,1/8/2013 23:25,2,2046,2046
25907313,4.95,F,1/6/2013 0:47,1,7863,3674
75387162,163.1,F,8/17/2014 9:33,1,3599,1889
37785480,38.75,F,11/14/2013 13:38,4,4813,2940
53655180,2.95,M,10/4/2013 16:09,2,1747,1665
70318423,240.75,F,11/12/2014 11:39,1,4350,3269
64014478,1.95,M,3/5/2014 21:02,1,1921,1843
55012254,2.95,F,10/23/2013 22:29,2,3080,1463
48400701,2.95,F,8/3/2013 11:01,3,2179,1150
14110756,1.95,F,11/27/2013 8:39,6,5783,1484
74794206,202.95,F,12/31/2014 20:08,4,1559,1472
44991981,2.95,F,8/6/2013 11:05,3,3756,1412
29309140,669,F,12/20/2013 20:16,18,3381,1633
3030206,38.75,F,5/18/2014 23:43,1,1947,1695
1778309,2.95,M,8/14/2013 11:26,5,2975,1769
23092030,4.95,M,9/20/2013 21:29,2,4624,3154
73931433,121.35,M,2/13/2015 15:37,5,4718,1155
52111076,72.85,F,11/11/2013 19:45,4,3315,1960
44742401,95.4,M,8/4/2014 18:52,2,2953,2041
59867883,1.95,F,1/10/2014 2:43,1,3674,3674
42778034,2.95,F,3/29/2013 12:10,1,1772,1772
39837857,37.9,M,2/3/2013 8:48,3,8322,3232
37428276,2.95,M,4/9/2013 1:39,2,1539,1022
15524528,14.9,M,3/10/2013 13:50,4,5664,3050
19075306,2.95,F,7/1/2013 14:55,1,4505,2796
70076609,1.95,F,5/25/2014 11:29,1,1035,1035
79396320,1.95,F,10/15/2014 8:30,2,5018,3283
39417003,95.4,M,1/29/2014 19:07,4,5768,2757
64205828,1.95,M,3/8/2014 13:36,1,1601,893
51784553,217.75,M,3/20/2015 18:24,1,3919,2645
38689745,2.95,F,1/29/2013 13:06,1,4559,4559
37845527,42.85,F,1/29/2013 8:27,1,5576,2504
38753592,2.95,M,1/21/2013 21:38,2,1610,847
44063702,7.46,F,5/6/2013 10:09,3,4828,3366
47937363,2.95,F,7/15/2014 15:00,7,1761,1632
45257924,2.95,F,5/19/2013 22:53,1,3723,2727
58399280,1.95,F,12/13/2013 0:00,1,4814,3274
38605494,72.85,F,1/4/2014 16:22,3,6398,2146
51659423,37.9,F,11/26/2013 13:06,1,2791,1498
13123069,2.95,F,2/13/2015 0:34,2,2352,1448
54177256,1.95,M,12/15/2014 17:50,1,2934,2522
58772571,81.55,F,2/12/2014 18:19,1,2699,2699
7920857,1.95,F,5/16/2014 16:43,1,2445,1800
39237475,2.95,M,5/23/2013 12:31,1,2852,2852
65538150,478.55,F,2/23/2015 21:06,3,9911,6267
63455384,1.95,M,3/26/2014 16:00,2,3417,3386
8974455,1.95,F,12/29/2014 21:17,3,3301,1827
6080148,217.75,F,11/2/2014 20:01,1,6334,6334
59251265,1.95,M,12/31/2013 9:04,1,2194,1881
51671064,3.95,M,10/7/2013 1:07,6,3756,3261
69078897,41.75,F,6/8/2014 17:49,1,1215,1154
17787861,1.95,M,8/7/2014 16:59,1,5160,3935
23238960,2.95,F,1/14/2013 11:24,2,3566,3299
3799051,1.95,F,7/3/2014 3:04,1,3580,3580
48815801,3.95,M,9/29/2013 19:56,2,2166,1787
75054812,41.75,M,9/3/2014 16:22,2,3471,2247
42929570,2.95,F,4/1/2013 17:27,1,4976,3584
59187199,30.75,M,8/16/2014 13:00,3,24831,8844
53968725,5.9,M,10/9/2013 9:28,4,2285,1726
40433213,2.95,M,2/13/2013 5:41,2,9026,8708
37169816,108.8,M,12/7/2015 10:07,2,2302,826
57194373,1.95,F,11/28/2013 0:19,1,4023,3506
43247990,2.95,M,4/7/2013 17:58,1,1892,1892
12500079,3.95,F,7/24/2013 22:14,1,3952,1774
36395892,73.85,F,1/9/2013 13:22,1,4560,3195
41568948,2.95,F,3/6/2013 10:44,1,1560,1560
66383620,81.55,M,5/30/2014 0:46,1,2592,1830
39345395,2.95,F,1/25/2013 1:01,2,4325,2209
53734837,2.95,F,10/6/2013 14:06,1,2706,2453
48798661,2.95,F,7/23/2013 10:54,7,3373,1993
63082016,80.55,F,5/13/2014 21:19,4,5690,2852
41398430,6.9,M,3/3/2013 21:29,4,3251,2022
51209852,7.85,F,9/24/2014 14:59,2,8329,5236
40690260,2.95,F,2/18/2013 10:05,2,3894,1985
44909036,2.95,F,7/22/2013 0:00,1,3511,2095
66219476,41.75,F,4/30/2014 10:06,1,5539,3848
58265313,1.95,M,12/10/2013 10:11,1,3543,2037
41537674,2.95,F,3/25/2013 1:31,3,2362,931
45570294,35.95,F,6/28/2013 10:51,2,4033,2174
28866794,37.9,F,6/6/2013 2:23,1,2720,2720
62727782,36.9,M,7/5/2014 22:36,4,5918,3687
43420140,2.95,F,4/10/2013 13:59,1,3153,1783
51216300,2.95,M,8/29/2013 8:03,1,2645,1833
37463335,38.9,F,1/15/2013 0:40,2,4683,3133
5603139,2.95,M,11/4/2013 16:42,2,5213,3817
63441107,1.95,M,3/6/2014 13:01,1,3647,2914
47499169,95.4,F,6/15/2014 18:11,1,1334,1334
45428340,37.9,F,5/22/2013 14:20,1,2767,1775
30490797,12.9,M,4/5/2014 14:40,2,2308,1683
42820698,37.9,M,5/5/2013 22:15,6,4606,1602
35793553,74.85,F,8/24/2014 21:22,2,2668,1465
75703768,41.75,F,12/19/2014 3:09,4,4471,1320
6594483,3.95,F,6/25/2013 13:27,2,4091,2450
56287119,181.95,M,3/31/2014 18:17,1,2645,2645
50060505,1.95,F,1/19/2014 2:32,1,3820,2710
40682486,72.85,F,4/19/2013 22:05,3,3114,1369
47039143,2.95,F,7/7/2013 18:38,1,3159,2454
8558637,38.9,F,3/3/2013 20:26,1,2561,2360
55459968,2.95,F,10/30/2013 20:33,1,2052,1830
41435126,2.95,F,3/6/2013 14:48,1,3211,2055
7294604,1.95,F,9/24/2014 16:42,1,1392,1271
53190948,78.75,F,12/4/2014 16:02,2,2453,1607
45947109,352.45,F,3/28/2014 17:27,3,3165,1663
49967193,2.95,M,9/19/2013 12:56,1,13980,8089
44905601,37.9,F,6/13/2013 14:54,1,2220,1852
44009458,2.95,M,5/1/2013 0:19,2,1188,787
60111950,111.65,M,7/6/2015 5:34,2,3512,2311
76735776,81.55,M,10/26/2014 8:03,1,4454,3319
42014379,177.7,M,9/14/2013 13:51,1,1300,1300
38513236,2.95,F,1/17/2013 7:25,1,3033,2296
14093824,1.95,F,12/3/2014 16:33,1,2672,2213
60531928,83.5,F,9/26/2014 12:18,2,2142,1345
53507344,2.95,M,10/2/2013 19:43,1,2834,2513
8094994,143.75,F,3/15/2014 10:43,5,6526,3713
54738605,2.95,M,10/20/2013 20:54,1,2184,1868
48392419,72.85,M,9/22/2013 11:10,3,4703,3464
64576619,1.95,M,3/13/2014 5:27,1,2588,2588
49166191,2.95,F,7/28/2013 19:06,2,2073,2065
39168335,37.9,M,1/30/2013 0:00,1,3317,2260
39692419,37.9,M,2/28/2013 12:42,2,2647,1135
57869045,1.95,M,11/20/2014 0:00,4,3086,2112
41795265,37.9,M,12/5/2013 15:08,1,2115,1795
70630845,1.95,M,6/3/2014 12:42,1,3110,3110
40075765,80.65,M,10/22/2014 18:46,1,4308,4085
40882712,72.85,M,4/21/2013 12:11,1,3949,2492
48355742,2.95,M,7/14/2013 18:38,1,2297,1735
2684945,41.75,F,5/11/2014 15:54,1,1368,1368
62024989,75.75,F,3/17/2015 19:39,1,4807,1070
41213767,177.7,M,8/6/2013 23:02,3,1445,986
6555998,38.75,F,2/26/2015 2:50,2,7558,4310
50362326,2.95,M,8/16/2013 16:45,2,2452,1333
8791609,38.85,F,3/24/2014 19:44,2,4357,3915
42798498,72.85,F,6/15/2013 13:34,3,4685,3092
13991406,38.9,F,8/26/2013 12:08,2,4326,1926
53919838,72.85,M,1/14/2014 18:16,2,4694,2388
2329022,10.06,M,10/30/2014 5:02,3,3528,1622
41770349,107.8,F,6/10/2013 17:29,1,1988,1988
52304877,72.85,F,11/26/2013 13:27,3,5681,2808
38469123,37.9,M,3/4/2013 3:32,3,3247,1093
7690623,2.95,M,2/21/2013 22:06,1,7961,7961
47379043,2.95,F,6/27/2013 9:11,1,1995,1931
49758655,110.35,M,4/8/2014 9:12,3,2365,1672
50912041,2.95,M,8/24/2013 14:07,1,1404,1028
8519153,81.55,F,9/3/2014 15:36,3,4133,4012
51752297,69.9,F,1/20/2014 20:40,3,8594,2511
50524589,37.9,F,9/19/2013 20:23,2,1834,851
4594661,72.85,F,4/22/2013 19:48,1,5745,5745
1077266,3.95,M,4/17/2013 16:31,1,2429,2429
12210901,2.95,M,1/29/2013 16:41,1,4011,4011
44373194,4.08,F,5/6/2013 11:39,1,3061,3061
71685962,1.95,F,6/17/2014 2:14,1,2624,2297
17165215,2.95,M,7/31/2013 18:35,2,3726,1448
44276230,72.85,M,7/7/2013 23:32,1,1875,1875
42353197,2.95,M,4/24/2013 19:43,5,1881,1064
58978404,106.8,M,6/13/2014 14:43,1,3883,3883
3513559,3.95,M,10/27/2013 11:37,1,2895,2895
43244728,2.95,M,4/7/2013 15:53,1,1123,894
56258122,38.75,F,12/18/2013 16:40,1,3242,2293
62209129,1.95,M,2/23/2014 15:43,5,10798,2166
43414887,75.8,F,9/22/2014 14:22,2,2975,1949
8575388,38.9,F,7/10/2013 8:32,1,2297,1643
55275274,72.85,F,1/2/2014 15:07,4,4068,2130
69369756,1.95,M,3/27/2015 20:09,2,5706,2418
73009474,74.55,F,8/31/2014 23:10,3,3534,1940
61131057,1.95,F,1/29/2014 8:25,3,4816,1841
64349643,1.95,F,3/17/2014 14:27,1,3701,3701
40302706,2.95,F,2/20/2013 11:02,1,2436,2436
54544439,37.9,F,11/17/2013 7:43,1,3156,3156
7246531,0.95,M,3/25/2014 6:28,1,2328,2328
29865096,39.9,M,4/25/2014 14:56,6,3514,688
39211440,2.95,M,2/5/2013 17:12,5,3186,2394
6856099,38.9,M,2/28/2013 23:16,5,3778,1963
18509401,459.3,M,12/29/2014 18:46,5,6081,1939
42640810,143.75,F,8/13/2013 16:04,3,2708,1998
8268390,2.95,F,7/28/2013 23:56,2,3471,1981
86747440,1.95,F,2/17/2015 16:13,1,2940,2940
59376158,1.95,F,12/28/2013 23:34,1,2719,1505
55637129,2.95,M,3/24/2014 22:22,4,1903,1719
79633744,97.35,F,1/27/2016 13:29,4,4289,3747
9274216,6.9,F,9/11/2013 12:16,3,1876,1355
33958283,1.95,M,2/12/2014 20:11,1,8538,5141
55719367,2.95,M,11/3/2013 22:57,1,6258,6258
53880444,12.9,F,10/8/2013 10:56,2,9276,4277
36160332,3.95,F,3/4/2014 13:12,1,7189,2992
1511462,104.85,F,6/5/2014 17:03,1,3007,2505
53461284,2.95,F,10/2/2013 10:42,4,4146,1979
60008450,1.95,F,1/13/2014 15:04,2,3060,1545
2969042,37.9,M,12/3/2014 22:49,1,1741,1074
35382788,3.95,M,5/26/2013 16:22,1,3324,2783
34854287,2.95,F,11/2/2013 8:24,6,2669,1807
66623137,1.95,F,4/7/2014 16:43,2,4647,3691
39138438,6.9,F,1/24/2013 23:40,7,3528,1833
