"ltv","gender","max_cover","count_cover","count_res","av_res","visits","portal","cardtype","experiencelevel","careerfield"
104.85,"M",2936,1,1,4066,2,"3","Visa","Entry Level","Accounting and Finance"
54.75,"M",4743,48,101,3716,10,"3","Mastercard","Student","Entertainment and Media"
1.95,"M",2213,1,3,2238,13,"3","Mastercard","Manager","Accounting and Finance"
41.75,"M",1084,1,10,783,14,"3","Mastercard","Experienced","Installation and Maintenance"
1.95,"Blank",2113,7,6,922,11,"3","Visa","Experienced","Administrative Support"
5.9,"Blank",1056,1,1,3014,1,"3","Visa","Entry Level","Customer Service"
3.95,"Blank",3261,8,13,882,12,"3","Visa","Entry Level","Installation and Maintenance"
177.7,"F",1583,1,1,5792,1,"3","Visa","Executive","Marketing, Advertising and PR"
2.95,"Blank",3191,1,2,1228,7,"3","Visa","Entry Level","Nursing"
1.95,"Blank",1873,1,1,1824,1,"3","Visa","Experienced","Computers and Technology"
38.75,"Blank",2252,2,3,2374,6,"5","Visa","Entry Level","Healthcare"
1.95,"Blank",2191,1,2,1613,1,"3","Visa","Entry Level","Education and Training"
1.95,"Blank",2225,1,1,2611,3,"3","Mastercard","Experienced","Construction"
1.95,"Blank",0,1,2,1100,2,"3","Mastercard","Experienced","Accounting and Finance"
1.95,"Blank",1237,1,1,3528,1,"3","Visa","Manager","Administrative Support"
69.9,"Blank",2176,3,4,4382,16,"3","Visa","Experienced","Nursing"
2.95,"Blank",2413,1,1,2840,2,"16","Mastercard","Entry Level","Customer Service"
81.55,"Blank",1221,1,1,2304,3,"3","Visa","Student","Engineering"
282.55,"Blank",2409,13,14,1436,64,"3","Mastercard","Student","Administrative Support"
235.7,"Blank",2171,1,5,4183,10,"4","Visa","Executive","Management"
3.95,"Blank",1646,3,6,1062,1,"3","Visa","Experienced","Construction"
1.95,"Blank",2114,2,1,3032,2,"3","Mastercard","Experienced","Transportation and Distribution"
81.55,"Blank",1222,1,3,3882,7,"3","Visa","Experienced","Computers and Technology"
282.55,"Blank",2265,27,28,2745,44,"3","Visa","Experienced","Sales"
1.95,"Blank",1622,1,8,1897,2,"8","Visa","Experienced","Construction"
214.65,"Blank",2163,7,8,2978,80,"3","Mastercard","Experienced","Administrative Support"
2.95,"Blank",3152,8,3,2710,5,"3","Mastercard","Manager","Management"
34.95,"Blank",2105,1,12,4083,3,"3","Visa","Manager","Food and Beverage"
184.65,"Blank",1760,1,27,1700,5,"3","Visa","Experienced","Construction"
200.95,"Blank",1504,2,4,2908,2,"3","Mastercard","Experienced","Customer Service"
253.1,"Blank",2562,3,3,2307,2,"9","American Express","Experienced","Marketing, Advertising and PR"
3.9,"Blank",1256,1,2,2972,9,"3","Mastercard","Experienced","Human Resources"
34.95,"Blank",2393,2,5,2307,4,"3","Discover","Student","Childcare"
6.9,"Blank",2191,1,13,1644,11,"4","Visa","Experienced","Customer Service"
1.95,"Blank",1478,1,3,1800,10,"3","Mastercard","Manager","Management"
1.95,"Blank",1594,2,4,965,2,"3","Visa","Experienced","Healthcare"
1.95,"Blank",1961,1,2,1689,3,"3","Visa","Experienced","Administrative Support"
214.65,"Blank",2215,25,62,799,23,"3","Mastercard","Experienced","Retail"
2.95,"Blank",2194,1,4,4486,17,"3","Visa","Experienced","Human Resources"
74.55,"M",2849,8,8,3504,16,"3","Visa","Experienced","Construction"
115.6,"Blank",2764,2,4,1575,2,"8","Visa","Entry Level","Nursing"
3.9,"Blank",2182,1,2,1844,2,"3","Visa","Experienced","Pharmacy"
2.95,"Blank",1680,1,1,2190,2,"16","Visa","Experienced","Skilled Trades"
34.95,"Blank",1252,1,3,2435,1,"3","Visa","Student","Education and Training"
2.95,"Blank",2455,2,6,2821,2,"3","American Express","Executive","Law Enforcement and Security"
41.75,"Blank",1534,3,2,3123,2,"3","Visa","Experienced","Healthcare"
81.55,"Blank",2965,1,4,1156,2,"3","Mastercard","Entry Level","Healthcare"
69.9,"Blank",1112,1,6,955,1,"3","Mastercard","Experienced","Business"
1.95,"Blank",2753,1,5,1254,2,"3","Visa","Experienced","Community and Public Service"
279.6,"Blank",3027,19,7,3031,126,"3","Visa","Experienced","Education and Training"
1.95,"Blank",145,1,2,1324,8,"3","Visa","Experienced","Education and Training"
2.95,"Blank",1746,1,2,9750,4,"19","Visa","Experienced","Transportation and Distribution"
1.95,"M",2166,10,3,1632,3,"3","Mastercard","Experienced","Healthcare"
2.95,"Blank",1736,1,1,3372,3,"3","Visa","Entry Level","Social Sciences"
38.75,"Blank",2730,1,7,512,1,"3","Visa","Entry Level","Customer Service"
2.95,"Blank",2785,4,6,950,35,"4","Mastercard","Experienced","Art, Fashion and Design"
2.95,"Blank",2197,2,3,1197,1,"16","Mastercard","Experienced","Food and Beverage"
2.95,"Blank",2772,3,3,1999,1,"16","Mastercard","Experienced","Education and Training"
41.75,"Blank",2190,8,1,2068,19,"3","Mastercard","Manager","Accounting and Finance"
1.95,"Blank",975,1,3,1466,6,"3","Visa","Entry Level","Construction"
1.95,"M",1558,2,2,2692,4,"6","Mastercard","Entry Level","Community and Public Service"
2.95,"Blank",2850,2,3,2584,2,"16","American Express","Manager","Management"
2.95,"Blank",1243,2,9,1330,5,"3","Mastercard","Experienced","Social Sciences"
16.9,"Blank",2950,4,2,1234,14,"3","Visa","Experienced","Entertainment and Media"
38.9,"Blank",2224,3,4,3544,7,"16","Visa","Experienced","Insurance"
38.75,"Blank",1277,2,3,3322,3,"3","Visa","Experienced","Banking and Financial Services"
2.95,"Blank",1991,3,13,2260,18,"16","Mastercard","Experienced","Personal Services"
2.95,"Blank",2937,2,3,3076,1,"16","Visa","Experienced","Real Estate"
3.9,"Blank",2158,1,7,1265,7,"3","Mastercard","Experienced","Real Estate"
422.35,"F",951,4,23,1573,9,"3","Discover","Experienced","Computers and Technology"
95.4,"Blank",2183,25,416,1795,193,"3","Visa","Experienced","Construction"
73.85,"F",2432,9,14,1070,76,"3","Mastercard","Experienced","Customer Service"
1.95,"Blank",2194,1,3,829,3,"3","Visa","Experienced","Manufacturing and Production"
73.85,"Blank",2995,2,6,1860,4,"3","Visa","Manager","Art, Fashion and Design"
181.65,"Blank",2182,7,9,1055,25,"3","Mastercard","Experienced","Administrative Support"
41.75,"Blank",0,1,1,1002,2,"3","Visa","Experienced","Manufacturing and Production"
6.9,"F",2187,2,6,2128,2,"3","Mastercard","Entry Level","Administrative Support"
37.9,"F",2181,7,18,415,1,"3","Visa","Entry Level","Community and Public Service"
1.95,"Blank",2178,2,2,3367,12,"3","Mastercard","Experienced","Administrative Support"
37.9,"Blank",2165,9,8,2254,6,"3","Mastercard","Entry Level","Healthcare"
38.75,"Blank",2221,19,27,1842,19,"12","Visa","Entry Level","Healthcare"
283.55,"Blank",1478,2,3,964,1,"13","Visa","Experienced","Nursing"
1.95,"Blank",1519,1,4,1720,1,"13","Mastercard","Entry Level","Food and Beverage"
42.75,"Blank",1953,1,1,1745,3,"16","Visa","Experienced","Skilled Trades"
279.6,"Blank",2196,3,9,2462,10,"3","Mastercard","Experienced","Real Estate"
1.95,"Blank",1672,5,12,326,13,"3","Visa","Experienced","Skilled Trades"
1.95,"Blank",2213,2,5,2037,2,"3","Visa","Experienced","Customer Service"
142.75,"Blank",2184,8,10,2182,22,"3","Mastercard","Entry Level","Human Resources"
4.9,"Blank",1986,1,3,2229,1,"3","Mastercard","Experienced","Administrative Support"
38.75,"Blank",2833,5,4,1073,1,"3","Visa","Experienced","Skilled Trades"
114.8,"Blank",912,1,31,1262,27,"3","Visa","Experienced","Transportation and Distribution"
1.95,"Blank",1968,2,2,2890,3,"3","Visa","Entry Level","Dental"
37.9,"Blank",2186,4,2,2597,1,"3","Mastercard","Experienced","Sales"
247.6,"Blank",2375,7,5,3891,2,"14","Visa","Manager","Childcare"
1.95,"Blank",1187,2,2,687,1,"3","Mastercard","Entry Level","Government"
38.9,"Blank",1937,1,5,2030,1,"3","Visa","Experienced","Customer Service"
250.15,"Blank",2789,3,15,1602,15,"3","Visa","Executive","Banking and Financial Services"
3.9,"Blank",1201,1,2,1671,5,"9","Visa","Experienced","Skilled Trades"
2.95,"Blank",1811,2,8,2059,2,"3","Visa","Entry Level","Accounting and Finance"
37.9,"Blank",2182,5,4,848,3,"3","Mastercard","Executive","Sales"
121.35,"Blank",1677,1,1,2046,1,"3","Visa","Experienced","Construction"
1.95,"Blank",2278,4,4,2859,9,"3","Visa","Student","Childcare"
1.95,"Blank",2199,2,1,1336,2,"3","Visa","Experienced","Customer Service"
1.95,"Blank",1481,4,3,2475,1,"3","Visa","Student","Retail"
41.75,"Blank",1442,3,4,1749,2,"3","Visa","Entry Level","Healthcare"
6.9,"Blank",2223,2,15,2376,2,"3","Visa","Experienced","Skilled Trades"
2.95,"Blank",1369,1,1,3035,1,"3","Visa","Manager","Retail"
41.75,"Blank",1793,1,1,10146,8,"3","Mastercard","Manager","Sales"
2.95,"Blank",2409,1,1,2707,2,"16","Visa","Experienced","Food and Beverage"
80.55,"Blank",0,1,1,1477,7,"3","Mastercard","Student","Community and Public Service"
74.55,"Blank",2193,7,7,341,17,"12","Visa","Experienced","Healthcare"
4.9,"Blank",2116,6,7,1279,4,"13","Visa","Experienced","Business"
108.8,"Blank",2193,1,15,3240,19,"9","Visa","Manager","Real Estate"
1.95,"Blank",2190,2,1,6257,3,"3","Visa","Manager","Management"
1.95,"Blank",1619,1,7,4203,4,"3","American Express","Experienced","Computers and Technology"
3.95,"Blank",2514,7,12,3316,45,"3","Visa","Experienced","Computers and Technology"
177.7,"Blank",2176,3,3,1280,1,"3","Visa","Experienced","Education and Training"
1.95,"Blank",838,1,6,840,10,"3","Visa","Experienced","Manufacturing and Production"
37.9,"Blank",2204,4,9,1156,1,"16","Visa","Entry Level","Nursing"
3.95,"Blank",2410,1,3,6302,1,"3","Visa","Experienced","Healthcare"
174.75,"Blank",2167,1,9,1510,4,"7","Visa","Entry Level","Customer Service"
2.95,"Blank",2175,2,4,986,3,"3","Visa","Entry Level","Administrative Support"
2.95,"M",2180,6,11,985,12,"3","Visa","Experienced","Customer Service"
3.9,"Blank",1573,2,7,2501,11,"3","Mastercard","Experienced","Education and Training"
80.5,"Blank",1077,1,5,2455,3,"7","Mastercard","Manager","Human Resources"
352.45,"Blank",2207,3,2,6020,25,"3","Visa","Executive","Marketing, Advertising and PR"
1.95,"Blank",2191,5,2,1293,1,"16","Visa","Experienced","Administrative Support"
1.95,"Blank",2182,9,4,901,3,"6","Mastercard","Experienced","Retail"
2.95,"Blank",1993,3,4,1822,3,"3","Mastercard","Experienced","Healthcare"
349.5,"F",2146,3,4,2852,1,"3","Visa","Experienced","Sales"
6.9,"Blank",2150,4,7,2274,4,"3","Visa","Entry Level","Retail"
37.9,"Blank",2142,1,2,2916,14,"3","Visa","Experienced","Art, Fashion and Design"
38.75,"Blank",3887,1,1,2810,4,"19","Mastercard","Student","Nursing"
4.9,"Blank",1846,3,6,2697,3,"3","Visa","Experienced","Customer Service"
2.95,"F",1278,3,5,4408,4,"3","(null)","Experienced","Administrative Support"
1.95,"Blank",2181,1,3,717,1,"3","Mastercard","Experienced","Banking and Financial Services"
1.95,"Blank",2192,1,2,1175,1,"3","Visa","Entry Level","Manufacturing and Production"
1.95,"Blank",1298,1,1,1355,1,"3","Visa","Student","Manufacturing and Production"
1.95,"Blank",1604,1,1,2518,1,"3","Visa","Experienced","Customer Service"
146.15,"Blank",518,1,1,2196,7,"3","Mastercard","Experienced","Dental"
2.95,"F",2190,2,7,1879,3,"3","Mastercard","Entry Level","Skilled Trades"
69.9,"Blank",2004,2,3,2234,2,"3","American Express","Experienced","Telecommunications and Wireless"
2.95,"Blank",2732,3,5,2223,7,"6","Visa","Entry Level","Food and Beverage"
3.9,"Blank",1250,2,1,2454,6,"3","Mastercard","Experienced","Customer Service"
36.9,"F",2150,1,14,1638,3,"3","Visa","Student","Customer Service"
42.75,"Blank",1345,1,1,2063,1,"16","Mastercard","Student","Accounting and Finance"
104.85,"M",3169,2,8,6017,27,"3","Visa","Manager","Accounting and Finance"
165.1,"Blank",1533,2,2,3979,2,"3","Visa","Experienced","Marketing, Advertising and PR"
565.1,"Blank",2005,2,7,10064,2,"3","Visa","Experienced","Education and Training"
36.9,"Blank",1524,2,2,3093,6,"3","Visa","Experienced","Skilled Trades"
419.4,"Blank",1685,5,12,697,7,"3","Mastercard","Experienced","Education and Training"
3.9,"Blank",2386,7,3,4749,6,"3","Mastercard","Manager","Sales"
44.9,"Blank",1064,1,69,1638,45,"3","Visa","Entry Level","Food and Beverage"
2.95,"Blank",1802,5,6,2556,19,"11","Visa","Experienced","Healthcare"
72.85,"Blank",1482,1,2,3054,13,"9","Visa","Experienced","Law Enforcement and Security"
108.8,"Blank",3775,3,7,2192,4,"3","Visa","Student","Business"
3.95,"Blank",1553,1,4,1759,4,"3","Visa","Experienced","Administrative Support"
7.31,"Blank",2235,2,7,3846,4,"3","Visa","Manager","Food and Beverage"
10.84,"Blank",2838,3,4,6371,7,"3","Visa","Experienced","Nursing"
110.75,"Blank",1831,1,4,6094,12,"3","Mastercard","Manager","Nursing"
44.7,"Blank",1458,2,5,1344,2,"3","Visa","Student","Fitness and Recreation"
95.4,"F",2177,12,119,1111,35,"3","(null)","Student","Healthcare"
110.35,"Blank",1972,5,8,1286,4,"16","Visa","Experienced","Travel and Hospitality"
95.4,"Blank",5191,6,10,7065,2,"3","Mastercard","Experienced","Marketing, Advertising and PR"
130.35,"Blank",2197,5,1,4006,5,"8","Mastercard","Experienced","Nursing"
38.75,"Blank",2503,3,3,2058,8,"3","Visa","Experienced","Administrative Support"
2.95,"Blank",2172,2,2,1715,1,"3","Visa","Entry Level","Customer Service"
72.85,"Blank",2126,1,6,1558,4,"3","Visa","Student","Customer Service"
121.35,"Blank",2193,2,8,1004,1,"3","Visa","Entry Level","Manufacturing and Production"
82.95,"Blank",1673,1,1,3782,5,"3","Mastercard","Manager","Administrative Support"
72.85,"Blank",2194,1,4,1979,2,"3","Mastercard","Experienced","Telecommunications and Wireless"
1.95,"Blank",2201,3,3,1880,4,"3","Visa","Experienced","Administrative Support"
37.9,"Blank",2824,3,5,1719,3,"3","Visa","Experienced","Manufacturing and Production"
200.95,"Blank",2146,2,4,1972,4,"3","Visa","Manager","Retail"
81.55,"Blank",1136,1,1,13992,4,"3","Visa","Experienced","Construction"
142.75,"Blank",2149,2,1,3497,3,"3","Visa","Experienced","Education and Training"
177.7,"Blank",2183,4,12,1681,11,"3","Visa","Experienced","Sports"
1.95,"Blank",1282,1,2,3822,1,"3","Mastercard","Manager","Food and Beverage"
5.9,"Blank",1857,3,6,2588,2,"3","Mastercard","Entry Level","Administrative Support"
143.75,"Blank",2336,3,3,12341,1,"3","Mastercard","Experienced","Beauty and Spa"
3.9,"Blank",1320,2,12,959,3,"3","Visa","Student","Science"
1.95,"Blank",2211,4,4,396,8,"3","Mastercard","Manager","Business"
34.95,"Blank",1671,8,6,2807,3,"3","Visa","Manager","Accounting and Finance"
1,"Blank",2261,19,6,2879,6,"3","Visa","Experienced","Administrative Support"
95.4,"Blank",1560,3,1,1958,3,"3","Visa","Experienced","Administrative Support"
36.9,"Blank",2202,3,5,987,2,"3","Visa","Student","Food and Beverage"
41.75,"Blank",3033,1,13,1559,2,"3","Visa","Manager","Management"
318.5,"Blank",1304,1,4,3294,2,"3","Mastercard","Experienced","Customer Service"
1.95,"Blank",2170,1,7,1830,1,"3","Visa","Entry Level","Administrative Support"
1.95,"Blank",2177,3,3,5175,1,"3","American Express","Manager","Human Resources"
41.85,"F",2193,4,13,1904,33,"3","Visa","Entry Level","Healthcare"
104.85,"F",2186,3,6,895,5,"3","Visa","Manager","Construction"
38.75,"Blank",2571,2,3,946,1,"20","Visa","Student","Beauty and Spa"
1,"Blank",1644,2,1,2116,3,"3","Mastercard","Experienced","Childcare"
44.55,"Blank",3291,4,8,6314,6,"3","Visa","Student","Nursing"
2.95,"Blank",2720,4,1,2550,1,"3","Visa","Manager","Law Enforcement and Security"
2.95,"Blank",1438,4,4,665,10,"3","Visa","Student","Retail"
72.85,"Blank",2573,12,4,1873,9,"3","American Express","Experienced","Retail"
42.75,"Blank",2186,3,10,2341,5,"3","Mastercard","Experienced","Customer Service"
81.55,"Blank",2245,1,2,1860,3,"3","Visa","Experienced","Psychology"
73.85,"Blank",2067,2,14,3050,6,"3","Visa","Experienced","Healthcare"
4.9,"Blank",3131,3,13,2356,4,"3","Visa","Entry Level","Food and Beverage"
41.75,"Blank",2624,2,5,1868,3,"9","Visa","Experienced","Healthcare"
1.95,"Blank",2178,3,5,1532,3,"3","Visa","Experienced","Healthcare"
12.9,"Blank",1584,1,5,1159,3,"3","Mastercard","Experienced","Administrative Support"
1.95,"M",2891,1,2,5390,1,"3","Mastercard","Entry Level","Banking and Financial Services"
4.9,"Blank",2206,2,3,3061,3,"3","Visa","Experienced","Healthcare"
3.95,"Blank",2115,1,4,2925,4,"3","Visa","Experienced","Customer Service"
5.9,"Blank",909,1,4,2401,4,"3","Visa","Entry Level","Manufacturing and Production"
95.4,"Blank",2194,3,35,1352,3,"3","Mastercard","Experienced","Accounting and Finance"
1.95,"Blank",2200,1,1,3156,1,"3","Mastercard","Experienced","Administrative Support"
1.95,"Blank",2177,1,3,3639,14,"3","Visa","Manager","Management"
142.75,"Blank",2209,1,5,2385,9,"3","Visa","Experienced","Healthcare"
1.95,"Blank",1578,1,2,2498,4,"3","Visa","Experienced","Beauty and Spa"
76.7,"Blank",2322,3,5,2045,1,"13","Visa","Entry Level","Beauty and Spa"
1.95,"Blank",1443,2,3,1755,3,"3","Visa","Student","Customer Service"
493.25,"Blank",2151,1,5,1292,5,"3","Visa","Experienced","Healthcare"
73.85,"Blank",2677,2,20,1739,2,"3","Mastercard","Entry Level","Customer Service"
4.95,"F",1873,1,8,3121,2,"8","Visa","Experienced","Manufacturing and Production"
1.95,"Blank",2209,9,5,1078,3,"7","Mastercard","Student","Law Enforcement and Security"
121.35,"Blank",1758,1,2,4047,11,"3","American Express","Executive","Education and Training"
1.95,"Blank",1560,1,3,1162,6,"3","Visa","Experienced","Skilled Trades"
4.9,"F",1702,2,8,5419,25,"3","Visa","Experienced","Administrative Support"
1.95,"Blank",1489,1,1,4891,3,"3","Visa","Experienced","Beauty and Spa"
38.9,"Blank",2184,1,19,1046,9,"13","Visa","Experienced","Food and Beverage"
71.85,"Blank",2148,4,3,4999,13,"3","Visa","Executive","Management"
1.95,"Blank",2188,1,1,2733,7,"3","Mastercard","Entry Level","Administrative Support"
2.95,"Blank",1964,1,2,2284,1,"16","Visa","Experienced","Manufacturing and Production"
73.85,"Blank",2127,1,6,1260,6,"3","Visa","Experienced","Installation and Maintenance"
74.55,"Blank",2298,1,5,3333,7,"3","Visa","Entry Level","Law Enforcement and Security"
114.35,"Blank",2209,6,6,3931,6,"3","Visa","Executive","Psychology"
44.7,"Blank",2614,2,1,3232,1,"16","Visa","Student","Healthcare"
1.95,"Blank",2194,21,14,877,14,"3","Visa","Student","Education and Training"
1.95,"Blank",1616,1,1,4350,1,"3","Mastercard","Executive","Telecommunications and Wireless"
1.95,"Blank",1735,1,1,1341,2,"3","Visa","Student","Science"
1.95,"Blank",1666,1,4,1714,2,"3","Visa","Experienced","Customer Service"
2.95,"Blank",2398,1,2,2734,2,"16","Visa","Experienced","Transportation and Distribution"
40.7,"Blank",1541,2,7,713,1,"16","Visa","Experienced","Administrative Support"
200.95,"Blank",3995,2,4,2345,9,"3","Visa","Entry Level","Childcare"
2.95,"Blank",3104,7,5,1504,1,"16","American Express","Manager","Food and Beverage"
41.75,"Blank",2196,6,3,1576,11,"3","Visa","Experienced","Marketing, Advertising and PR"
3.95,"F",2119,1,5,5349,32,"3","Visa","Experienced","Business"
38.75,"Blank",1707,1,3,2959,22,"3","American Express","Experienced","Administrative Support"
2.95,"F",2199,18,12,2692,43,"3","Visa","Experienced","Psychology"
2.95,"M",1679,1,1,2328,8,"3","Visa","Manager","Law Enforcement and Security"
38.75,"Blank",2270,1,5,1527,8,"3","Mastercard","Experienced","Nursing"
1.95,"Blank",2026,1,2,3382,3,"3","Visa","Experienced","Human Resources"
1.95,"Blank",1987,3,7,1880,5,"13","Visa","Entry Level","Customer Service"
1,"F",1474,1,2,3650,3,"3","Visa","Entry Level","Business"
38.9,"F",2202,1,7,5312,3,"7","Visa","Experienced","Administrative Support"
38.9,"Blank",1535,1,5,1864,4,"6","Visa","Student","Manufacturing and Production"
1.95,"Blank",2414,1,3,2677,2,"3","Mastercard","Experienced","Education and Training"
41.85,"Blank",2203,4,4,2726,3,"3","Mastercard","Experienced","Community and Public Service"
2.95,"Blank",2852,14,3,4797,10,"16","Visa","Experienced","Marketing, Advertising and PR"
2.95,"Blank",1333,1,4,1162,2,"3","Visa","Experienced","Computers and Technology"
1.95,"Blank",2138,2,5,2156,3,"3","Visa","Experienced","Customer Service"
2.95,"Blank",2184,3,5,2962,33,"9","Visa","Manager","Construction"
75.7,"Blank",2972,5,6,1372,2,"3","Visa","Experienced","Administrative Support"
107.8,"F",1445,1,2,1738,1,"3","Mastercard","Experienced","Installation and Maintenance"
5.9,"Blank",3340,3,5,4067,7,"6","Mastercard","Student","Accounting and Finance"
107.8,"Blank",1911,2,3,1604,2,"3","Visa","Entry Level","Nursing"
6.9,"Blank",2184,2,3,2777,4,"3","Visa","Manager","Retail"
2.95,"Blank",3457,7,17,1226,6,"3","Mastercard","Experienced","Nursing"
9.95,"Blank",2136,1,7,1467,5,"7","Mastercard","Entry Level","Community and Public Service"
3.95,"Blank",2187,3,6,1028,4,"3","Visa","Student","Dental"
2.95,"Blank",2190,1,5,737,3,"16","Visa","Executive","Accounting and Finance"
113.6,"Blank",1468,1,10,2719,3,"20","Visa","Experienced","Healthcare"
1,"Blank",1559,1,6,2392,40,"3","American Express","Experienced","Sales"
2.95,"M",1545,1,4,4024,17,"3","Visa","Experienced","Computers and Technology"
2.95,"Blank",2177,5,5,2026,3,"3","Visa","Experienced","Accounting and Finance"
95.4,"Blank",2318,3,4,2936,6,"3","Mastercard","Experienced","Administrative Support"
1.95,"Blank",1456,2,4,2025,2,"3","Visa","Experienced","Administrative Support"
2.95,"Blank",2375,1,3,1940,1,"3","Mastercard","Experienced","Customer Service"
1.95,"Blank",1214,1,1,4379,2,"3","Visa","Experienced","Education and Training"
113.7,"Blank",1821,5,7,3181,19,"3","Visa","Manager","Retail"
72.85,"F",1620,2,3,3090,2,"3","Mastercard","Entry Level","Community and Public Service"
2.95,"Blank",1017,1,3,2875,1,"16","Mastercard","Entry Level","Administrative Support"
45.8,"Blank",2364,3,13,880,14,"4","Visa","Entry Level","Nursing"
2.95,"Blank",1790,2,2,6327,7,"4","Visa","Experienced","Healthcare"
2.95,"Blank",1569,1,4,646,1,"16","(null)","Entry Level","Dental"
599.1,"M",2220,7,17,1514,14,"3","Visa","Entry Level","Computers and Technology"
2.95,"Blank",3547,1,2,4746,5,"9","Visa","Experienced","Administrative Support"
5.9,"Blank",2647,2,2,3857,1,"3","Mastercard","Experienced","Government"
2.95,"Blank",2739,6,5,1739,8,"3","Visa","Experienced","Healthcare"
72.85,"Blank",15541,6,8,1033,5,"3","Mastercard","Executive","Law Enforcement and Security"
69.9,"Blank",2420,2,4,4094,5,"3","Visa","Experienced","Nursing"
2.95,"Blank",2188,1,4,1137,10,"4","Visa","Experienced","Retail"
174.75,"Blank",2167,1,9,1510,4,"7","Visa","Experienced","Healthcare"
44.7,"Blank",2178,1,17,2749,28,"3","Visa","Experienced","Banking and Financial Services"
41.75,"Blank",1972,3,4,2683,5,"3","Mastercard","Manager","Government"
1.95,"Blank",1214,1,2,2561,3,"3","Mastercard","Experienced","Real Estate"
2.95,"Blank",2471,1,8,2405,1,"16","Visa","Experienced","Skilled Trades"
1.95,"Blank",2097,1,3,1482,1,"3","Mastercard","Experienced","Nursing"
1,"Blank",2634,2,7,905,4,"9","Visa","Student","Engineering"
1.95,"Blank",1379,1,3,893,3,"3","Visa","Student","Childcare"
2.95,"Blank",2973,4,5,1481,8,"9","Visa","Manager","Retail"
38.75,"Blank",1893,1,4,1935,17,"9","Mastercard","Experienced","Nursing"
1.95,"Blank",1329,1,3,1217,2,"3","Visa","Entry Level","Food and Beverage"
69.9,"Blank",2011,2,5,2452,3,"6","Visa","Experienced","Nursing"
38.75,"F",2272,1,5,2501,4,"10","Visa","Executive","Banking and Financial Services"
184.65,"Blank",1760,1,27,1700,5,"3","Visa","Entry Level","Real Estate"
2.95,"Blank",1432,2,1,3415,7,"3","Mastercard","Experienced","Transportation and Distribution"
3.95,"Blank",2491,1,3,3096,4,"3","Visa","Experienced","Nursing"
